Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
classroom_ec747776	narrator	This is Miss Li, a Chinese female teacher. At this moment, a group of active and lively students is sitting in the classroom ,looking forward to the teacher’s lecture. \n\n这是李老师，一位中国女老师。此时 一群活泼好动的学生，他们席地而坐，期待着老师的授课。	game/script.rpy	80	narrator "[what]"
classroom_f24d8656	miss_you	Good morning, everyone!In today's political class, I would like to discuss two countries that are relevant to recent international events. Can anyone guess which countries I'm referring to? \n\n同学们好！今天的政治课我想和大家聊聊两个国家，跟最近国际上的事情相关，有哪个同学猜出来了吗？	game/script.rpy	85	miss_you "[what]"
classroom_4a4e4362	student1	It's Israel and Palestine. \n\n是以色列和巴勒斯坦。	game/script.rpy	90	student1 "[what]"
classroom_b34d51d0	miss_you	That's right. Palestine is located in the western part of Asia, adjacent to Israel. In that region, many children and families are living under the shadow of conflict. \n\n是的。巴勒斯坦位于亚洲西部，与以色列相邻。在那里，有很多儿童和家庭都生活在冲突的阴影下。	game/script.rpy	97	miss_you "[what]"
classroom_ed8050d3	student2	Why does this conflict occur? \n\n为什么会发生冲突呢？	game/script.rpy	102	student2 "[what]"
classroom_7552fc6a	miss_you	This is due to complex factors such as geography, religion, and historical background. Nevertheless, they face violence, fear, and harm in this ongoing conflict. Some children have lost their homes and even their loved ones. \n\n这是由于地域、宗教和历史背景等复杂原因所致。无论如何，他们在持续的冲突中，面临着暴力、恐惧和伤害。有些孩子失去了家园，甚至失去了亲人。	game/script.rpy	109	miss_you "[what]"
classroom_2c534ad6	student3	What can we do? \n\n老师，我们能做些什么吗？	game/script.rpy	116	student3 "[what]"
classroom_719a5dc0	miss_you	I just want to tell you that even though we live in a peaceful environment, there are still regions in the world engulfed in war. \n\n我想告诉你们，尽管我们生活在和平的环境，世界的某些地区却依旧在战乱里。	game/script.rpy	121	miss_you "[what]"
classroom_f924abdd	miss_you	As young people in China, you should understand the responsibilities of a great nation and strive tirelessly for the peace of both our country and the whole world. \n\n你们作为中国的青年，要懂得中国应有的大国担当，为了国家更为了世界的和平不懈努力。	game/script.rpy	129	miss_you "[what]"
home_479465df	narrator	Our story takes place amidst the Israeli-Palestinian conflict, with the last round of bombings occurring half a month ago. At this very moment, a surviving yet fragmented family is rekindling hope for their lives, as today marks the younger brother's birthday. \n\n我们的故事发生在巴以冲突中，上一轮的轰炸发生在半个月前，此时此刻，幸存而残缺的一家人又重拾生活的希望，今天是弟弟的生日。	game/script.rpy	158	narrator "[what]"
home_75ca9a4f	sister	Happy birthday, Kevin! \n\n生日快乐，Kevin！	game/script.rpy	164	sister "[what]"
home_dbb12f18	elder_brother	Make a wish, in this difficult time. \n\n许个愿吧，在这艰难的时刻。	game/script.rpy	168	elder_brother "[what]"
home_1836e617	little_brother	If only Mom and Dad were here... \n\n如果爸爸妈妈也在就好了……	game/script.rpy	172	little_brother "[what]"
home_7bc56088	sister	It will all turn around. \n\n一切都会好的。	game/script.rpy	176	sister "[what]"
home_0e1419ac	narrator	The bomb hit the home! 炸弹袭击了这个家!	game/script.rpy	183	narrator "[what]"
